Title	Assignees	Status	Priority	Estimate	Size
Quit Button		Done			
Tool Tips		In progress			
Hit		Backlog	P0		
Display Cards		Backlog			
Double Down		Backlog			
Spilt		Backlog			
Spanish Black Jack Mode		Backlog			
Insurance		Backlog			
Display Pot		Backlog			
Bet Buttons		Backlog			
Display Wallet		Backlog			
Hold		Backlog			
Change Theme		In review			
Volume Button/Sound		In review			
Main Menu		In review			
Multiplayer Play Button		In review			
Solo Play Button		In review			
How to Guide		Next In Que			
Select Mode		Next In Que			